id_studente,materia,voto,id_docente
STU00001,Italiano,9.75,DOC0095
STU00001,Italiano,1.75,DOC0095
STU00001,Matematica,9.5,DOC0036
STU00001,Matematica,4.5,DOC0036
STU00001,Inglese,1.25,DOC0032
STU00001,Inglese,7.5,DOC0032
STU00001,Inglese,5.25,DOC0032
STU00002,Italiano,2.5,DOC0095
STU00002,Italiano,2.5,DOC0095
STU00002,Matematica,5.25,DOC0036
STU00002,Matematica,8.75,DOC0036
STU00002,Matematica,2.5,DOC0036
STU00002,Inglese,9.5,DOC0032
STU00002,Inglese,6.75,DOC0032
STU00003,Italiano,5.25,DOC0095
STU00003,Italiano,4.25,DOC0095
STU00003,Matematica,5.5,DOC0036
STU00003,Matematica,6.25,DOC0036
STU00003,Matematica,6.5,DOC0036
STU00003,Inglese,5.75,DOC0032
STU00003,Inglese,2.75,DOC0032
STU00004,Italiano,3.5,DOC0095
STU00004,Italiano,7.5,DOC0095
STU00004,Matematica,6.25,DOC0036
STU00004,Matematica,4.25,DOC0036
STU00004,Inglese,7.5,DOC0032
STU00004,Inglese,2.25,DOC0032
STU00004,Inglese,6.25,DOC0032
STU00005,Italiano,3.5,DOC0095
STU00005,Italiano,3.25,DOC0095
STU00005,Italiano,9.75,DOC0095
STU00005,Matematica,7.75,DOC0036
STU00005,Matematica,7.5,DOC0036
STU00005,Matematica,4.25,DOC0036
STU00005,Inglese,2.25,DOC0032
STU00005,Inglese,2.25,DOC0032
STU00005,Inglese,3.75,DOC0032
STU00006,Italiano,8.75,DOC0095
STU00006,Italiano,5.75,DOC0095
STU00006,Italiano,1.75,DOC0095
STU00006,Matematica,9.5,DOC0036
STU00006,Matematica,6.25,DOC0036
STU00006,Inglese,7.25,DOC0032
STU00006,Inglese,8.25,DOC0032
STU00006,Inglese,5.75,DOC0032
STU00007,Italiano,5.75,DOC0095
STU00007,Italiano,9.75,DOC0095
STU00007,Matematica,3.5,DOC0036
STU00007,Matematica,3.75,DOC0036
STU00007,Inglese,6.5,DOC0032
STU00007,Inglese,1.25,DOC0032
STU00008,Italiano,4.25,DOC0095
STU00008,Italiano,4.75,DOC0095
STU00008,Italiano,2.25,DOC0095
STU00008,Matematica,2.75,DOC0036
STU00008,Matematica,3.25,DOC0036
STU00008,Matematica,8.75,DOC0036
STU00008,Inglese,5.75,DOC0032
STU00008,Inglese,7.25,DOC0032
STU00009,Italiano,5.5,DOC0095
STU00009,Italiano,6.5,DOC0095
STU00009,Matematica,2.25,DOC0036
STU00009,Matematica,4.25,DOC0036
STU00009,Matematica,6.25,DOC0036
STU00009,Inglese,4.25,DOC0032
STU00009,Inglese,2.75,DOC0032
STU00010,Italiano,6.25,DOC0095
STU00010,Italiano,9.25,DOC0095
STU00010,Matematica,8.25,DOC0036
STU00010,Matematica,9.25,DOC0036
STU00010,Matematica,8.25,DOC0036
STU00010,Inglese,7.25,DOC0032
STU00010,Inglese,2.25,DOC0032
STU00010,Inglese,7.5,DOC0032
STU00011,Italiano,2.25,DOC0018
STU00011,Italiano,7.75,DOC0018
STU00011,Matematica,2.25,DOC0095
STU00011,Matematica,4.25,DOC0095
STU00011,Matematica,9.5,DOC0095
STU00011,Inglese,7.25,DOC0014
STU00011,Inglese,5.5,DOC0014
STU00012,Italiano,9.25,DOC0018
STU00012,Italiano,1.75,DOC0018
STU00012,Italiano,9.25,DOC0018
STU00012,Matematica,4.25,DOC0095
STU00012,Matematica,7.5,DOC0095
STU00012,Inglese,4.5,DOC0014
STU00012,Inglese,1.25,DOC0014
STU00012,Inglese,7.25,DOC0014
STU00013,Italiano,5.5,DOC0018
STU00013,Italiano,9.75,DOC0018
STU00013,Italiano,8.25,DOC0018
STU00013,Matematica,5.25,DOC0095
STU00013,Matematica,1.75,DOC0095
STU00013,Inglese,6.25,DOC0014
STU00013,Inglese,1.75,DOC0014
STU00014,Italiano,1.75,DOC0018
STU00014,Italiano,2.25,DOC0018
STU00014,Matematica,2.75,DOC0095
STU00014,Matematica,4.5,DOC0095
STU00014,Inglese,4.75,DOC0014
STU00014,Inglese,1.75,DOC0014
STU00015,Italiano,5.25,DOC0018
STU00015,Italiano,6.25,DOC0018
STU00015,Italiano,5.5,DOC0018
STU00015,Matematica,5.5,DOC0095
STU00015,Matematica,6.25,DOC0095
STU00015,Inglese,8.75,DOC0014
STU00015,Inglese,2.25,DOC0014
STU00016,Italiano,6.25,DOC0018
STU00016,Italiano,4.5,DOC0018
STU00016,Matematica,3.5,DOC0095
STU00016,Matematica,9.75,DOC0095
STU00016,Matematica,5.75,DOC0095
STU00016,Inglese,9.5,DOC0014
STU00016,Inglese,2.25,DOC0014
STU00017,Italiano,5.5,DOC0018
STU00017,Italiano,4.75,DOC0018
STU00017,Matematica,4.75,DOC0095
STU00017,Matematica,5.75,DOC0095
STU00017,Matematica,8.5,DOC0095
STU00017,Inglese,2.75,DOC0014
STU00017,Inglese,7.5,DOC0014
STU00018,Italiano,5.25,DOC0018
STU00018,Italiano,8.75,DOC0018
STU00018,Matematica,9.25,DOC0095
STU00018,Matematica,2.25,DOC0095
STU00018,Matematica,3.75,DOC0095
STU00018,Inglese,6.75,DOC0014
STU00018,Inglese,9.25,DOC0014
STU00019,Italiano,1.5,DOC0018
STU00019,Italiano,4.75,DOC0018
STU00019,Italiano,4.75,DOC0018
STU00019,Matematica,6.75,DOC0095
STU00019,Matematica,7.75,DOC0095
STU00019,Inglese,4.25,DOC0014
STU00019,Inglese,3.5,DOC0014
STU00020,Italiano,7.75,DOC0018
STU00020,Italiano,4.5,DOC0018
STU00020,Italiano,3.75,DOC0018
STU00020,Matematica,7.25,DOC0095
STU00020,Matematica,8.25,DOC0095
STU00020,Inglese,8.5,DOC0014
STU00020,Inglese,5.25,DOC0014
STU00021,Italiano,5.25,DOC0095
STU00021,Italiano,5.5,DOC0095
