areageografica,regione,provincia,codiceistitutoriferimento,denominazioneistitutoriferimento,codicescuola,denominazionescuola,codicecomunescuola,descrizionecomune,descrizionecaratteristicascuola,descrizionetipologiagradoistruzionescuola
SUD,ABRUZZO,L'AQUILA,AQIS01200R,ISTITUTO SUPERIORE TORLONIA - BELLISARIO,AQSD01201N,"LICEO ARTISTICO ""VINCENZO BELLISARIO""",A515,AVEZZANO,NORMALE,ISTITUTO D'ARTE
CENTRO,TOSCANA,AREZZO,ARIS00700X,MARGARITONE-VASARI,ARRI00750X,MARGARITONE - CORSO SERALE,A390,AREZZO,PERCORSO II LIVELLO,IST PROF INDUSTRIA E ARTIGIANATO
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIS01400R,I.I.S. F. ALBERGHETTI,BORI01402D,IPIA F.ALBERGHETTI - SEZIONE ASSOCIATA,E289,IMOLA,NORMALE,IST PROF INDUSTRIA E ARTIGIANATO
NORD OVEST,LOMBARDIA,BRESCIA,BSIS02200A,"""DANDOLO"" - CORZANO",BSRH02201E,"ALBERGHIERO ""DANDOLO""",D082,CORZANO,NORMALE,IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE
SUD,MOLISE,CAMPOBASSO,CBIS023004,"""E. MAJORANA""",CBSL02301B,"L.ARTISTICO ""B.JACOVITTI""",L113,TERMOLI,NORMALE,LICEO ARTISTICO
SUD,MOLISE,CAMPOBASSO,CBIS007006,I.I.S.S. LOMBARDO-RADICE,CBTD00701C,ISTITUTO TECNICO ECONOMICO - BOIANO,A930,BOJANO,NORMALE,ISTITUTO TECNICO COMMERCIALE
SUD,ABRUZZO,CHIETI,CHIS01600D,U. POMILIO CHIETI,CHRI016015,U. POMILIO CHIETI,C632,CHIETI,NORMALE,IST PROF INDUSTRIA E ARTIGIANATO
NORD OVEST,PIEMONTE,CUNEO,CNPC030005,"SALUZZO ""G.B.BODONI""",CNPC030005,"SALUZZO ""G.B.BODONI""",H727,SALUZZO,NORMALE,LICEO CLASSICO
NORD OVEST,LOMBARDIA,COMO,COIS011006,GIUSEPPE TERRAGNI,COTD01101C,IST. TECNICO ECONOMICO GIUSEPPE TERRAGNI,G025,OLGIATE COMASCO,NORMALE,ISTITUTO TECNICO COMMERCIALE
NORD OVEST,LOMBARDIA,CREMONA,CRIS00800D,"""ANTONIO STRADIVARI""",CRSL00801R,LICEO ARTISTICO,D150,CREMONA,NORMALE,LICEO ARTISTICO
SUD,CALABRIA,COSENZA,CSIS081003,"IIS ""L. DELLA VALLE"" COSENZA",CSSL08101A,LICEO ARTISTICO COSENZA,D086,COSENZA,NORMALE,LICEO ARTISTICO
SUD,CALABRIA,COSENZA,CSIS028006,IIS CETRARO LC-ISA-ITA-ITT-LS-IPSIA-,CSTN02801A,ITT -TRASPORTI E LOGISTICA - ACQUAPPESA,A041,ACQUAPPESA,NORMALE,ISTITUTO TECNICO PER IL TURISMO
SUD,CALABRIA,CATANZARO,CZIS019007,IIS POLO TECNOLOGICO IND.ED ARTIG.AVANZ.,CZRI01901V,POLO TECNOLOGICO,M208,LAMEZIA TERME,NORMALE,IST PROF INDUSTRIA E ARTIGIANATO
SUD,PUGLIA,FOGGIA,FGRI16000B,"I.P. ""P.G. FRASSATI"" - I.OC. ""M.L. KING""",FGRI16002D,"I.P. ANZANO DI PUGLIA-I.OC. ""M.L. KING""",A320,ANZANO DI PUGLIA,NORMALE,IST PROF INDUSTRIA E ARTIGIANATO
NORD EST,EMILIA ROMAGNA,FORLI'-CESENA,FOIS001002,MARIE CURIE,FOTF00101E,"I.T.I. ""M. CURIE""",I472,SAVIGNANO SUL RUBICONE,NORMALE,ISTITUTO TECNICO INDUSTRIALE
NORD OVEST,LIGURIA,GENOVA,GERH01000G,IPSSA M.POLO,GERH01000G,IPSSA M.POLO,D969,GENOVA,NORMALE,IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE
NORD OVEST,LIGURIA,GENOVA,GEIS012004,B.MARSANO,GETA012021,IST.TEC.TECN. MARSANO/SAN COLOMBANO,H802,SAN COLOMBANO CERTENOLI,NORMALE,ISTITUTO TECNICO AGRARIO
