ANNOSCOLASTICO,CODICESCUOLA,CLASSI,BAMBINIMASCHI,BAMBINIFEMMINE
202324,LEAA07102G,4,57,43
202324,FGAA83004X,4,33,34
202324,MNAA82103X,2,21,14
202324,SAAA857047,2,24,22
202324,CEAA87901L,14,116,103
202324,NAAA33303V,6,58,47
202324,VCAA81301D,1,10,8
202324,UDAA830051,2,24,16
202324,VTAA812026,3,28,41
202324,ENAA823016,2,15,20
202324,PTAA81402A,3,29,38
202324,AVAA81703E,4,33,35
202324,SVAA81802T,2,14,19
202324,RGAA809043,2,16,25
202324,NAAA8AB025,3,19,28
202324,SRAA01301D,3,29,30
202324,RMAA8AP02Q,2,23,20
202324,CEAA8BD03E,3,37,23
202324,LUAA83702R,1,6,13
202324,AGAA824019,1,16,9
202324,BIAA81701Q,1,14,10
202324,MEAA86601G,3,24,26
202324,RMAA89303T,7,77,59
202324,ANAA81103E,3,31,24
202324,VVAA81201Q,3,33,22
202324,TOAA8BG018,1,12,12
202324,PIAA84205P,3,36,34
202324,SIAA81103E,3,36,28
202324,CSAA872044,1,4,7
202324,TVAA854022,2,14,18
202324,PCAA81604L,3,35,26
202324,GEAA83903V,3,42,24
202324,LEAA8AE048,3,37,32
202324,TAAA843017,3,31,29
202324,MIAA836013,5,52,47
202324,AVAA87402N,1,6,6
202324,NAAA8BX02V,6,50,47
202324,CEAA87301N,13,101,114
202324,COAA807017,3,31,30
202324,NAAA81002D,5,61,47
202324,ANAA82402G,4,53,40
202324,MEAA889029,2,15,18
202324,BRAA832049,3,24,16
202324,PIAA81905N,4,41,50
202324,ALAA81703V,2,28,20
202324,RCAA804077,3,27,24
202324,AVAA81502T,3,35,27
202324,ANAA839029,3,30,39
202324,SVAA81508L,1,8,9
202324,RGAA80601C,3,34,26
202324,SPAA821027,2,23,13
202324,BAAA817056,6,60,55
202324,APAA81304T,1,5,4
202324,PRAA82901C,4,53,52
202324,CTAA80303Q,3,22,23
202324,SIAA826038,2,17,27
202324,PIAA83801V,2,35,23
202324,TOAA8BQ014,3,35,25
202324,FGAA819034,1,13,5
202324,FIAA869061,4,22,16
202324,PVAA80304L,1,16,5
202324,IMAA80402A,1,6,8
202324,MIAA8BR01C,4,39,48
202324,LEAA88802X,2,18,22
202324,MIAA82503P,1,9,9
