id_voto,id_studente,id_docente,materia,voto
VOT0001,STU0001,DOC0012,Scienze,8
VOT0002,STU0001,DOC0012,Scienze,9
VOT0003,STU0001,DOC0014,Educazione Fisica,5
VOT0004,STU0001,DOC0014,Educazione Fisica,5
VOT0005,STU0002,DOC0012,Scienze,6
VOT0006,STU0002,DOC0012,Scienze,9
VOT0007,STU0002,DOC0014,Educazione Fisica,7
VOT0008,STU0002,DOC0014,Educazione Fisica,10
VOT0009,STU0003,DOC0012,Scienze,4
VOT0010,STU0003,DOC0012,Scienze,6
VOT0011,STU0003,DOC0014,Educazione Fisica,6
VOT0012,STU0003,DOC0014,Educazione Fisica,7
VOT0013,STU0004,DOC0012,Scienze,6
VOT0014,STU0004,DOC0012,Scienze,7
VOT0015,STU0004,DOC0014,Educazione Fisica,6
VOT0016,STU0004,DOC0014,Educazione Fisica,6
VOT0017,STU0005,DOC0012,Scienze,5
VOT0018,STU0005,DOC0012,Scienze,5
VOT0019,STU0005,DOC0014,Educazione Fisica,7
VOT0020,STU0005,DOC0014,Educazione Fisica,5
VOT0021,STU0006,DOC0012,Scienze,5
VOT0022,STU0006,DOC0012,Scienze,8
VOT0023,STU0006,DOC0014,Educazione Fisica,6
VOT0024,STU0006,DOC0014,Educazione Fisica,5
VOT0025,STU0007,DOC0012,Scienze,6
VOT0026,STU0007,DOC0012,Scienze,6
VOT0027,STU0007,DOC0014,Educazione Fisica,5
VOT0028,STU0007,DOC0014,Educazione Fisica,8
VOT0029,STU0008,DOC0012,Scienze,9
VOT0030,STU0008,DOC0012,Scienze,7
VOT0031,STU0008,DOC0014,Educazione Fisica,7
VOT0032,STU0008,DOC0014,Educazione Fisica,9
VOT0033,STU0009,DOC0012,Scienze,4
VOT0034,STU0009,DOC0012,Scienze,7
VOT0035,STU0009,DOC0014,Educazione Fisica,6
VOT0036,STU0009,DOC0014,Educazione Fisica,6
VOT0037,STU0010,DOC0012,Scienze,7
VOT0038,STU0010,DOC0012,Scienze,7
VOT0039,STU0010,DOC0014,Educazione Fisica,6
VOT0040,STU0010,DOC0014,Educazione Fisica,8
VOT0041,STU0011,DOC0001,Matematica,8
VOT0042,STU0011,DOC0001,Matematica,5
VOT0043,STU0011,DOC0003,Educazione Fisica,6
VOT0044,STU0011,DOC0003,Educazione Fisica,9
VOT0045,STU0011,DOC0005,Scienze,7
VOT0046,STU0011,DOC0005,Scienze,6
VOT0047,STU0012,DOC0001,Matematica,8
VOT0048,STU0012,DOC0001,Matematica,6
VOT0049,STU0012,DOC0003,Educazione Fisica,6
VOT0050,STU0012,DOC0003,Educazione Fisica,7
VOT0051,STU0012,DOC0005,Scienze,9
VOT0052,STU0012,DOC0005,Scienze,6
VOT0053,STU0013,DOC0001,Matematica,4
VOT0054,STU0013,DOC0001,Matematica,6
VOT0055,STU0013,DOC0003,Educazione Fisica,5
VOT0056,STU0013,DOC0003,Educazione Fisica,6
VOT0057,STU0013,DOC0005,Scienze,5
VOT0058,STU0013,DOC0005,Scienze,8
VOT0059,STU0014,DOC0001,Matematica,5
VOT0060,STU0014,DOC0001,Matematica,4
VOT0061,STU0014,DOC0003,Educazione Fisica,7
VOT0062,STU0014,DOC0003,Educazione Fisica,6
VOT0063,STU0014,DOC0005,Scienze,7
VOT0064,STU0014,DOC0005,Scienze,5
